"id","activity","HU","MHC","HC50","LD50","EC50","LC50","IC50","NH"
"1087","MHC = 31.3μg/ml","NA","MHC = 31.3μg/ml","NA","NA","NA","NA","NA","NA"
"1088","MHC = 15.6μg/ml","NA","MHC = 15.6μg/ml","NA","NA","NA","NA","NA","NA"
"1089","MHC = 8μg/ml","NA","MHC = 8μg/ml","NA","NA","NA","NA","NA","NA"
"1090","MHC = 4μg/ml","NA","MHC = 4μg/ml","NA","NA","NA","NA","NA","NA"
"1091",">10% hemolysis at 3.1 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1092",">10% hemolysis at 1.6 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1093",">10% hemolysis at 100 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1094",">10% hemolysis at 100 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1095",">10% hemolysis at 1.6 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1096",">10% hemolysis at 1.6 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1097",">10% hemolysis at >400 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1098",">10% hemolysis at 100 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1099",">10% hemolysis at >400 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1100","24.6± 1.2% hemolysis at 100 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1101","26.1±4.5% hemolysis at 100 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1102","2.3±1.5% hemolysis at 100 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1103","3.4±0.8% hemolysis at 100 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1104","13.3±4.3% hemolysis at 100 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1105","<0.1% hemolysis at 100 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1106","0.14±0.3% hemolysis at 100 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1107","4.9±1.7% hemolysis at 100 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1108","<0.1% hemolysis at 100 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1109","50% hemolysis at 11μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1110","50% hemolysis at 4μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1111","50% hemolysis at 4μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1112","50% hemolysis at 6μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1113","50% hemolysis at >200μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1114","50% hemolysis at >200μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1115","50% hemolysis at >200μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1116","50% hemolysis at 75μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1117","50% hemolysis at 32μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1118","50% hemolysis at 8μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1119","~50% hemolysis at 100μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1120","~20% hemolysis at 100μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1121","~17% hemolysis at 100μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1122","~9% hemolysis at 100μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1123","~8% hemolysis at 100μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1124","~30% hemolysis at 100μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1125","~25% hemolysis at 100μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1126","~90% hemolysis at 100μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1127","~60% hemolysis at 100μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1128","LD50 = 150μM","NA","NA","NA","LD50 = 150μM","NA","NA","NA","NA"
"1129","LD50 = 5μM","NA","NA","NA","LD50 = 5μM","NA","NA","NA","NA"
"1130","LD50 = 75μM","NA","NA","NA","LD50 = 75μM","NA","NA","NA","NA"
"1131","LD50 = 95μM","NA","NA","NA","LD50 = 95μM","NA","NA","NA","NA"
"1132","LD50 = >300μM","NA","NA","NA","LD50 = >300μM","NA","NA","NA","NA"
"1133","LD50 = 50μM","NA","NA","NA","LD50 = 50μM","NA","NA","NA","NA"
"1134","<5% hemolysis at 200 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1135","<5% hemolysis at 200 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1136","<5% hemolysis at 200 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1137","MHC = >1000.0μg/ml","NA","MHC = >1000.0μg/ml","NA","NA","NA","NA","NA","NA"
"1138","MHC = >1000.0μg/ml","NA","MHC = >1000.0μg/ml","NA","NA","NA","NA","NA","NA"
"1139","MHC = 250.0μg/ml","NA","MHC = 250.0μg/ml","NA","NA","NA","NA","NA","NA"
"1140","MHC = 125.0μg/ml","NA","MHC = 125.0μg/ml","NA","NA","NA","NA","NA","NA"
"1141","MHC = 250.0μg/ml","NA","MHC = 250.0μg/ml","NA","NA","NA","NA","NA","NA"
"1142","MHC = 250.0μg/ml","NA","MHC = 250.0μg/ml","NA","NA","NA","NA","NA","NA"
"1143","MHC = <7.8μg/ml","NA","MHC = <7.8μg/ml","NA","NA","NA","NA","NA","NA"
"1144","MHC = <7.8μg/ml","NA","MHC = <7.8μg/ml","NA","NA","NA","NA","NA","NA"
"1145","MHC = 650μM","NA","MHC = 650μM","NA","NA","NA","NA","NA","NA"
"1146","MHC = 325μM","NA","MHC = 325μM","NA","NA","NA","NA","NA","NA"
"1147","MHC = 81μM","NA","MHC = 81μM","NA","NA","NA","NA","NA","NA"
"1148","MHC = <81μM","NA","MHC = <81μM","NA","NA","NA","NA","NA","NA"
"1149","MHC = <81μM","NA","MHC = <81μM","NA","NA","NA","NA","NA","NA"
"1150","MHC = <81μM","NA","MHC = <81μM","NA","NA","NA","NA","NA","NA"
"1151","MHC = <81μM","NA","MHC = <81μM","NA","NA","NA","NA","NA","NA"
"1152","MHC = <81μM","NA","MHC = <81μM","NA","NA","NA","NA","NA","NA"
"1153","MHC = <81μM","NA","MHC = <81μM","NA","NA","NA","NA","NA","NA"
"1154","MHC = <81μM","NA","MHC = <81μM","NA","NA","NA","NA","NA","NA"
"1155","MHC = <81μM","NA","MHC = <81μM","NA","NA","NA","NA","NA","NA"
"1156","<1% hemolysis at 3-100 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1157","1.5-2.3% hemolysis at 3-100 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1158","<1% hemolysis at 3-100 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1159","1.5-2.3% hemolysis at 3-100 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1160","<1% hemolysis at 3-100 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1161","<1% hemolysis at 3-100 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1162","25% hemolysis at 200 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1163",">50% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1164",">50% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1165",">50% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1166",">50% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1167","0-3% hemolysis upto 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1168","0-3% hemolysis upto 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1169",">50% hemolysis at 80 μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1170","12-25% hemolysis at 80 μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1171",">50% hemolysis at 80 μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1172",">50% hemolysis at 80 μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1173","3-6% hemolysis at 80μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1174","0-3% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1175",">50% hemolysis at 80 μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1176","3-6% hemolysis at 80μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1177","0-3% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1178","0-3% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1179","0-3% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1180","3-6% hemolysis at 80μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1181","3-6% hemolysis at 80μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1182","3-6% hemolysis at 80μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1183","0-3% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1184","0-3% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1185","0-3% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1186","0-3% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1187","0-3% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1188","6-12% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1189","0-3% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1190","0-3% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1191","3-6% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1192","12-25% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1193","3-6% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1194","12-25% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1195","25-50% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1196","12-25% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1197","25-50% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1198",">50% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1199",">50% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1200",">50% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1201",">50% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1202","3-6% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1203",">50% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1204","12-25% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1205","25-50% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1206",">50% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1207",">50% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1208",">50% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1209",">50% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1210","0-3% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1211","12-25% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1212","0-3% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1213","12-25% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1214","6-12% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1215","0-3% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1216","6-12% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1217",">50% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1218","0-3% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1219","0-3% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1220","25-50% hemolysis at 80μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1221","0% hemolysis at ≥200μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1222",">2-3% at ≥16μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1223",">2-3% at ≥20μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1224","0% hemolysis at ≥200μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1225",">2-3% at ≥16μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1226","0% hemolysis at 3-100 μM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 3-100 μM (non-hemolytic)"
"1227","0% hemolysis at 3-100 μM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 3-100 μM (non-hemolytic)"
"1228","HD50 = 7.53±0.19","NA","NA","NA","NA","NA","NA","NA","NA"
"1229","HD50  = 28.07±3.06","NA","NA","NA","NA","NA","NA","NA","NA"
"1230","HD50  = 4.23±1.06","NA","NA","NA","NA","NA","NA","NA","NA"
"1231","HD50 = 4.37±0.60","NA","NA","NA","NA","NA","NA","NA","NA"
"1232","HD50  = 3.32±0.12","NA","NA","NA","NA","NA","NA","NA","NA"
"1233","HD50 = 4.79±0.09","NA","NA","NA","NA","NA","NA","NA","NA"
"1234","HD50  = 8.76±2.08","NA","NA","NA","NA","NA","NA","NA","NA"
"1235","HD50  = 2.00±0.12","NA","NA","NA","NA","NA","NA","NA","NA"
"1236","HD50  = 5.35±0.60","NA","NA","NA","NA","NA","NA","NA","NA"
"1237","HD50  = 6.34±3.54","NA","NA","NA","NA","NA","NA","NA","NA"
"1238","HD50  = 2.63±0.06","NA","NA","NA","NA","NA","NA","NA","NA"
"1239","HD50 = 2.37±0.08","NA","NA","NA","NA","NA","NA","NA","NA"
"1240","HD50 = 1.98±0.05","NA","NA","NA","NA","NA","NA","NA","NA"
"1241","HD50 = 1.02±0.04","NA","NA","NA","NA","NA","NA","NA","NA"
"1242","HD50  = 2.07±0.05","NA","NA","NA","NA","NA","NA","NA","NA"
"1243","77% hemolysis at 100 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1244","29% hemolysis at 50 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1245","0% hemolysis at 3.13 - 25 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1246","19% hemolysis at 100 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1247","0% hemolysis at 3.13 - 50 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1248","0% hemolysis up to 400 mg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis up to 400 mg/ml (non-hemolytic)"
"1249","100% hemolysis at 25μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1250","96% hemolysis at 12.5μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1251","92%  hemolysis at 6.25μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1252","45% hemolysis at 3.125μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1253","9% hemolysis at 1.56μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1254","0% hemolysis at 0.78μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1255","25% hemolysis at 25μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1256","4% hemolysis at 12.5μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1257","0% hemolysis at 0.78 - 6.25μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1258","45% hemolysis at 64μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1259","21% hemolysis at 64μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1260","67% hemolysis at 64μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1261","4% hemolysis at 64μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1262","9% hemolysis at 64μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1263","3% hemolysis at 64μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1264","8% hemolysis at 64μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1265","100% hemolysis at >0.5 mg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1266","101% hemolysis at >0.5 mg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1267","102% hemolysis at >0.5 mg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1268","25% hemolysis at 13.1μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1269","25% hemolysis at 9.1μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1270","25% hemolysis at 334μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1271","25% hemolysis at >400μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1272","5% hemolysis at 0.8μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1273","90% hemolysis at 0.8μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1274","0% hemolysis at 0.8μM  (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 0.8μM  (non-hemolytic)"
"1275","91% hemolysis at 25μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1276","90% hemolysis at 25μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1277",">50% hemolysis at 25μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1278","90% hemolysis at 25μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1279","52% hemolysis at 25μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1280","42% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1281","84% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1282","9.9% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1283","50% hemolysis at 21.1(±2.6)μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1284","50% hemolysis at 7.0(±0.3)μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1285","50% hemolysis at 5.0(±0.1)μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1286","50% hemolysis at 7.1(±3.5)μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1287","50% hemolysis at 8.6(±1.1)μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1288","50% hemolysis at 6.2(±0.3)μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1289","50% hemolysis at >50 μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1290","0% hemolysis at 1-500μg/ml  (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 1-500μg/ml  (non-hemolytic)"
